('India', 'Italy'),('Chile', 'France'),0.199189189189
('South Africa', 'UK'),('Greece', 'Netherlands'),-0.247826086957
('South Yemen', 'USSR'),('Yugoslavia', 'UK'),0.230526315789
('Chile', 'France'),('China', 'USSR'),-0.439047619048
('Hungary', 'USSR'),('Spain', 'Italy'),-0.123636363636
('Italy', 'Germany (FRG)'),('Greece', 'Germany (FRG)'),0.21
('Germany (FRG)', 'Italy'),('Germany (FRG)', 'UK'),0.218421052632
('Cuba', 'USSR'),('Viet Nam', 'USSR'),0.359189189189
('Argentina', 'Italy'),('Switzerland', 'France'),-0.1404
('Pakistan', 'France'),('Denmark', 'Sweden'),0.233666666667
('China', 'Russia'),('Hungary', 'USSR'),-0.298333333333
('South Korea', 'Germany (FRG)'),('Italy', 'France'),0.241081081081
('Iraq', 'UK'),('India', 'Netherlands'),-0.167307692308
('East Germany (GDR)', 'USSR'),('Yugoslavia', 'France'),0.344090909091
('Italy', 'Germany (FRG)'),('Romania', 'Czechoslovakia'),-0.163333333333
('France', 'UK'),('Czechoslovakia', 'USSR'),0.221428571429
('Thailand', 'Germany (FRG)'),('Turkey', 'Netherlands'),0.212903225806
('Afghanistan', 'USSR'),('USA', 'Italy'),-0.112068965517
('France', 'UK'),('Syria', 'Czechoslovakia'),0.278571428571
('Hungary', 'USSR'),('UAE', 'Germany (FRG)'),-0.368888888889
('Turkey', 'Germany (FRG)'),('Pakistan', 'UK'),-0.127272727273
('UAE', 'Germany (FRG)'),('Thailand', 'Germany (FRG)'),0.2228
('Turkey', 'Netherlands'),('Sweden', 'UK'),-0.156666666667
('Germany (FRG)', 'France'),('South Korea', 'Netherlands'),-0.275652173913
('USSR', 'Poland'),('Portugal', 'Germany (FRG)'),0.335
('Egypt', 'USSR'),('UAE', 'Germany (FRG)'),-0.327037037037
('UAE', 'Germany (FRG)'),('Bulgaria', 'USSR'),-0.221904761905
('Gabon', 'France'),('Syria', 'USSR'),0.239166666667
('Israel', 'Germany (FRG)'),('Switzerland', 'UK'),-0.185945945946
('Brazil', 'Germany (FRG)'),('Israel', 'UK'),-0.1908
('Indonesia', 'Netherlands'),('China', 'USSR'),-0.201904761905
('China', 'Germany (FRG)'),('Switzerland', 'Germany (FRG)'),0.197931034483
('USA', 'Italy'),('Peru', 'UK'),-0.1675
('Syria', 'USSR'),('Hungary', 'USSR'),0.288571428571
('South Korea', 'Netherlands'),('Romania', 'USSR'),-0.153333333333
('UAE', 'France'),('Japan', 'France'),0.32962962963
('South Africa', 'UK'),('Japan', 'UK'),-0.147727272727
('Romania', 'France'),('India', 'Russia'),-0.135
('Sweden', 'Germany (FRG)'),('Afghanistan', 'USSR'),-0.151142857143
('Sweden', 'UK'),('Pakistan', 'France'),-0.1405
('South Africa', 'France'),('Iraq', 'USSR'),0.213333333333
('Indonesia', 'UK'),('Ecuador', 'France'),0.220476190476
('Brazil', 'Switzerland'),('Brazil', 'Switzerland'),0.492
('Greece', 'France'),('Chile', 'Spain'),0.206818181818
('India', 'Italy'),('Singapore', 'France'),0.200416666667
('Peru', 'France'),('Norway', 'Germany (FRG)'),-0.1492
('China', 'Germany (FRG)'),('Turkey', 'France'),0.266333333333
('Austria', 'France'),('India', 'Italy'),-0.224
('UK', 'Germany (FRG)'),('Japan', 'France'),0.264444444444
('South Korea', 'France'),('Pakistan', 'France'),0.215
('Denmark', 'UK'),('Singapore', 'UK'),-0.171904761905
('Belgium', 'France'),('Belgium', 'France'),0.21525
('Hungary', 'USSR'),('Peru', 'UK'),0.2935
('Libya', 'USSR'),('Iraq', 'USSR'),0.303333333333
('Turkey', 'Germany (FRG)'),('UAE', 'Italy'),0.23
('China', 'Russia'),('South Korea', 'France'),0.251666666667
('Morocco', 'France'),('Turkey', 'Norway'),0.199130434783
('USA', 'Italy'),('Brazil', 'Germany (FRG)'),0.284444444444
('Australia', 'France'),('India', 'Russia'),0.262
('Cuba', 'USSR'),('India', 'Russia'),-0.5185
('Turkey', 'UK'),('Canada', 'Switzerland'),0.214090909091
('Hungary', 'USSR'),('Sweden', 'Germany (FRG)'),-0.285517241379
('Spain', 'UK'),('Iraq', 'UK'),-0.1115
('Canada', 'Switzerland'),('Israel', 'UK'),-0.3436
('Pakistan', 'UK'),('India', 'Italy'),-0.1876
('Pakistan', 'France'),('South Korea', 'France'),0.267333333333
('Viet Nam', 'USSR'),('Sweden', 'Germany (FRG)'),-0.24275862069
('Japan', 'France'),('Sweden', 'Italy'),-0.213181818182
('Algeria', 'USSR'),('Syria', 'USSR'),0.321111111111
('Chile', 'Spain'),('China', 'France'),0.234482758621
('UAE', 'Germany (FRG)'),('Greece', 'France'),0.255714285714
('Argentina', 'France'),('Peru', 'France'),0.236666666667
('India', 'Germany (FRG)'),('South Korea', 'France'),0.202666666667
('Afghanistan', 'USSR'),('Romania', 'Czechoslovakia'),0.362916666667
('Turkey', 'Norway'),('Finland', 'France'),0.2304
('Cuba', 'USSR'),('Spain', 'UK'),-0.114
('Pakistan', 'UK'),('Italy', 'Germany (FRG)'),-0.106428571429
('Portugal', 'France'),('Turkey', 'UK'),-0.109655172414
('Germany (FRG)', 'France'),('India', 'Germany (FRG)'),-0.247419354839
('India', 'USSR'),('Norway', 'France'),-0.216153846154
('Libya', 'USSR'),('USSR', 'Czechoslovakia'),0.208974358974
('Japan', 'France'),('South Korea', 'Italy'),0.285238095238
('UAE', 'Germany (FRG)'),('Chile', 'France'),0.255405405405
('China', 'Russia'),('Ecuador', 'France'),-0.13619047619
('Romania', 'Czechoslovakia'),('Saudi Arabia', 'Germany (FRG)'),-0.147272727273
('Bulgaria', 'USSR'),('Australia', 'France'),-0.168571428571
('China', 'France'),('Switzerland', 'UK'),-0.108108108108
('Kuwait', 'UK'),('Syria', 'Czechoslovakia'),0.220476190476
('Peru', 'France'),('USSR', 'Poland'),0.233666666667
('Gabon', 'France'),('Ecuador', 'France'),0.211904761905
('Venezuela', 'Italy'),('South Yemen', 'USSR'),0.304090909091
('Turkey', 'Italy'),('Iraq', 'France'),0.2368
('South Africa', 'UK'),('USA', 'Germany (FRG)'),-0.204782608696
('Greece', 'France'),('Poland', 'USSR'),-0.156904761905
('Nigeria', 'Italy'),('Nigeria', 'Italy'),0.354545454545
('UAE', 'France'),('China', 'France'),0.284482758621
('USSR', 'Poland'),('India', 'USSR'),0.427878787879
('India', 'Germany (FRG)'),('Afghanistan', 'USSR'),-0.185428571429
('Japan', 'Italy'),('Sweden', 'Italy'),-0.248181818182
('Mongolia', 'USSR'),('Brazil', 'Germany (FRG)'),-0.13
('Switzerland', 'UK'),('Turkey', 'Netherlands'),-0.135161290323
('Germany (FRG)', 'Italy'),('India', 'Germany (FRG)'),-0.107419354839
('Portugal', 'UK'),('Iraq', 'France'),-0.1288
('UAE', 'Italy'),('Syria', 'Czechoslovakia'),0.25
('UAE', 'Italy'),('Brazil', 'Germany (FRG)'),0.23
('Argentina', 'Germany (FRG)'),('Argentina', 'Italy'),0.242592592593
('Nigeria', 'Italy'),('Netherlands', 'Italy'),0.317
('India', 'USSR'),('France', 'UK'),0.203243243243
('East Germany (GDR)', 'USSR'),('Brazil', 'Switzerland'),-0.1825
('India', 'Italy'),('UK', 'Netherlands'),0.264
('New Zealand', 'UK'),('Spain', 'Germany (FRG)'),-0.161714285714
('Denmark', 'Sweden'),('Spain', 'UK'),0.2215
('South Yemen', 'USSR'),('Iran', 'Russia'),-0.352
('Cuba', 'USSR'),('Cuba', 'USSR'),0.4628125
('North Korea', 'USSR'),('USSR', 'Czechoslovakia'),0.309230769231
('Poland', 'USSR'),('Nigeria', 'UK'),0.213076923077
('Israel', 'UK'),('Malaysia', 'Germany (FRG)'),-0.261904761905
